loc,age,Income_level, car_cost,park_and_ride_cost,metro_cost,bus_cost,car_realtime,park_and_ride_realtime,metro_realtime,bus_realtime,decision
14,34,2,75,165,5,0,0,8,63,18,metro
14,52,1,55,70,5,0,0,9,54,9,metro
14,50,2,45,60,5,0,0,13,70,25,park-and-ride
14,44,1,80,35,0,7,40,25,5,0,bus
14,61,1,47,11,5,0,0,18,66,18,bus
14,44,2,33,9,5,0,0,14,67,22,metro
14,27,3,65,95,5,0,0,9,49,19,park-and-ride
14,54,2,80,50,10,0,0,17,62,17,park-and-ride
14,43,3,83,29,5,0,0,14,71,14,car
14,61,3,83,29,5,0,0,15,81,15,metro
15,52,2,100,85,5,0,0,11,60,15,park-and-ride
15,37,2,85,100,5,0,0,15,66,15,park-and-ride
15,52,1,105,120,5,0,0,20,59,20,bus
17,20,3,75,45,0,5,50,35,5,0,car
15,46,2,65,95,5,0,0,15,60,15,metro
15,65,3,125,35,5,0,0,8,61,22,park-and-ride
15,61,1,55,25,0,5,75,0,5,15,bus
15,38,2,98,29,5,0,0,16,67,16,metro
15,34,3,71,23,5,0,0,10,61,10,park-and-ride
15,50,1,81,18,0,0,0,18,54,18,bus
15,51,3,78,24,0,0,0,15,63,15,car
15,55,3,90,60,0,0,0,12,65,20,car
16,67,1,58,19,5,0,0,19,67,19,bus
16,67,2,85,100,5,0,0,15,60,15,metro
16,43,3,68,14,0,0,0,17,62,17,metro
16,62,2,30,15,5,0,0,19,64,19,metro
16,36,2,124,37,5,0,0,19,70,25,bus
16,64,1,139,37,5,0,0,7,52,7,metro
16,56,2,82,31,5,0,0,1,56,11,car
16,33,3,84,27,5,0,0,11,65,11,car
16,65,3,125,35,5,1,0,20,44,20,park-and-ride
16,36,3,46,13,5,0,0,19,58,19,bus
16,63,1,83,29,5,0,0,10,88,10,car
16,43,2,83,29,5,0,0,18,63,18,metro
16,34,2,118,34,10,0,0,17,64,19,car
17,51,2,34,7,5,0,0,11,60,15,bus
17,39,1,61,13,5,0,0,11,66,21,metro
17,27,1,47,11,5,0,0,20,68,20,metro
17,26,2,112,31,5,0,0,14,59,14,metro
17,52,1,125,35,5,0,0,11,47,11,bus
17,49,2,50,11,3,0,0,14,53,14,car
17,44,2,113,29,5,5,0,12,45,12,car
17,38,3,35,5,5,0,0,19,61,19,car
17,56,2,85,25,5,0,0,20,56,20,metro
17,34,3,60,15,5,0,0,12,57,12,bus
17,49,2,125,35,5,0,0,19,64,19,park-and-ride
17,60,3,85,25,5,0,0,15,57,15,park-and-ride
17,48,1,123,39,5,0,0,19,67,19,bus
17,51,1,110,35,5,0,0,11,62,17,metro
17,28,2,87,21,5,3,0,17,59,17,metro
