loc,age,Income_level, car_cost,park_and_ride_cost,metro_cost,bus_cost,car_realtime,park_and_ride_realtime,metro_realtime,bus_realtime,decision
14,34,2,30,52.5,0,5,0,6,22.25,11,metro
14,52,1,27.5,31.25,2.5,0,0,6.75,18,6.75,metro
14,50,2,22.5,26.25,2.5,0,0,9.75,27,15.75,park-and-ride
14,44,1,26.25,15,0,7.5,17.5,13.75,3.75,0,bus
14,61,1,14.25,5.25,2.25,0,0,13.5,25.5,13.5,bus
14,44,2,22.5,16.5,14.5,0,0,10.5,25.75,14.5,metro
14,27,3,30,37.5,0,0,0,6.75,19.25,11.75,park-and-ride
14,54,2,30.5,23,3,0,0,12.75,24,12.75,park-and-ride
14,43,3,29.25,15.75,3.75,0,0,10.5,24.75,10.5,car
14,61,3,37.5,24,12,0,0,11.25,27.75,11.25,metro
15,52,2,50,46.25,6.25,0,0,8.25,21.5,10.25,park-and-ride
15,37,2,45,48.75,5,0,0,11.25,24,11.25,park-and-ride
15,52,1,47.5,51.25,0,2.5,0,15,24.75,15,bus
17,20,3,33.75,26.25,0,1.25,22.5,18.75,3.75,0,car
15,46,2,27.5,35,0,2.5,0,11.25,22.5,11.25,metro
15,65,3,38.75,16.25,1.25,0,0,6,22.75,13,park-and-ride
15,61,1,23,15.5,0,2,23.75,0,3.75,8.75,bus
15,38,2,31,13.75,1.75,0,0,12,24.75,12,metro
15,34,3,26,14,5,0,0,7.5,20.25,7.5,park-and-ride
15,50,1,24.25,8.5,0,0.5,0,13.5,22.5,13.5,bus
15,51,3,31.25,17.75,5.75,0,0,11.25,23.25,11.25,car
15,55,3,30.5,23,0,7,0,9,24.25,13,car
16,67,1,32.5,22.75,15.75,0,0,14.25,26.25,14.25,bus
16,67,2,33,36.75,0,7,0,11.25,22.5,11.25,metro
16,43,3,18.75,5.25,0,1.75,0,12.75,24,12.75,metro
16,62,2,16.5,12.75,7.75,0,0,14.25,25.5,14.25,metro
16,36,2,42.75,21,5,0,0,14.25,28.5,17.25,bus
16,64,1,42,16.5,0.5,0,0,5.25,16.5,5.25,metro
16,56,2,29,16.25,3.25,0,0,0.75,17,5.75,car
16,33,3,32.5,18.25,7.25,0,0,8.25,21.75,8.25,car
16,65,3,36.25,13.75,0,1.25,0,15,21,15,park-and-ride
16,36,3,18,9.75,5.75,0,0,14.25,24,14.25,bus
16,63,1,29.25,15.75,3.75,0,0,7.5,27,7.5,car
16,43,2,31.75,18.25,6.25,0,0,13.5,24.75,13.5,metro
16,34,2,35.25,14.25,2.25,0,0,12.75,25,13.75,car
17,51,2,13.5,6.75,5.75,0,0,8.25,21.5,10.25,bus
17,39,1,18.25,6.25,2.25,0,0,8.25,24.5,13.25,metro
17,27,1,19.5,10.5,7.5,0,0,15,27,15,metro
17,26,2,38.75,18.5,5.5,0,0,10.5,21.75,10.5,metro
17,52,1,36.75,14.25,0,0.75,0,8.25,17.25,8.25,bus
17,49,2,19.75,10,6,0,0,10.5,20.25,10.5,car
17,44,2,32.5,11.5,0,0.5,0,9,17.25,9,car
17,38,3,13.75,6.25,6.25,0,0,14.25,24.75,14.25,car
17,56,2,27.5,12.5,2.5,0,0,15,24,15,metro
17,34,3,25,13.75,8.75,0,0,9,20.25,9,bus
17,49,2,38.75,16.25,1.25,0,0,14.25,25.5,14.25,park-and-ride
17,60,3,30.5,15.5,5.5,0,0,11.25,21.75,11.25,park-and-ride
17,48,1,41.25,20.25,3.25,0,0,14.25,26.25,14.25,bus
17,51,1,37,18.25,3.25,0,0,8.25,22.5,11.25,metro
17,28,2,25,8.5,0.5,0,0,12.75,23.25,12.75,metro
