loc,age,Income_level, car_cost,park_and_ride_cost,metro_cost,bus_cost,car_realtime,park_and_ride_realtime,metro_realtime,bus_realtime,decision
11,34,1,20.25,10.5,1.5,0,0,7.5,12.5,12.5,bus
11,52,2,20.25,10.5,1.5,0,0,7.5,12.5,12.5,metro
11,50,3,35.25,10.5,2.5,0,0,7.5,20,12.5,park and ride
11,44,1,27.25,13,2,0,0,7.5,20,12.5,bus
11,61,1,33.25,13,0,0,0,7.5,20,12.5,bus
11,44,1,21.25,11.5,2.5,0,0,7.5,20,12.5,bus
11,27,1,19.25,12.5,1.5,0,0,15,35,20,bus
11,54,2,18.25,11.5,0.5,0,0,15,35,20,park and ride
11,43,3,27.75,10.5,2.5,0,0,7.5,20,12.5,car
11,61,1,33.25,11.5,0.5,0,0,7.5,27.5,12.5,metro
11,52,1,18.25,8.5,1.5,0,0,7.5,27.5,12.5,bus
11,37,2,21.25,11.5,2.5,0,0,7.5,12.5,12.5,park and ride
11,52,3,27.25,13,2,0,0,7.5,20,12.5,car
11,46,3,34.75,14.5,1.5,0,0,7.5,20,12.5,car
11,65,2,33.25,13,0,0,0,7.5,20,12.5,park and ride
11,61,3,20.25,10.5,2.5,0,0,7.5,20,12.5,car
11,38,1,25.75,11.5,0.5,0,0,7.5,27.5,12.5,metro
11,34,2,20.25,10.5,1.5,0,0,7.5,12.5,12.5,park and ride
11,50,2,21.75,12,4,0,0,7.5,20,12.5,metro
11,51,3,33.25,16,0,1,0,7.5,20,12.5,car
12,55,2,20.25,10.5,2.5,0,0,7.5,20,12.5,car
12,67,3,25.75,11.5,0.5,0,0,7.5,20,12.5,car
12,67,1,20.25,10.5,2.5,0,0,7.5,20,12.5,metro
12,43,3,25.75,11.5,0.5,0,0,7.5,20,12.5,car
12,62,1,19.75,10,3,0,0,7.5,27.5,12.5,bus
12,36,2,34.75,14.5,1.5,0,0,7.5,20,12.5,metro
12,64,1,33.25,13,0,0,0,7.5,20,12.5,bus
12,56,2,18.25,8.5,1.5,0,0,7.5,27.5,12.5,park and ride
12,33,2,20.25,10.5,2.5,0,0,7.5,20,12.5,car
12,65,2,25.75,11.5,0.5,0,0,7.5,20,12.5,park and ride
12,36,3,19.25,9.5,1.5,0,0,7.5,20,12.5,park and ride
12,63,1,19.25,9.5,1.5,0,0,7.5,20,12.5,bus
12,43,1,21.75,12,3,0,0,7.5,12.5,12.5,metro
12,34,1,33.25,13,0,0,0,7.5,20,12.5,bus
12,51,1,20.25,10.5,2.5,0,0,7.5,20,12.5,bus
12,39,2,26.75,12.5,1.5,0,0,7.5,20,12.5,metro
