loc,age,Income_level, car_cost,park_and_ride_cost,metro_cost,bus_cost,car_realtime,park_and_ride_realtime,metro_realtime,bus_realtime,decision
14,34,2,-7.5,0,-25,-20,-12.25,-6.25,0,-3.75,metro
14,52,1,-1.25,0,-13.75,-16.25,-10.5,-3.75,0,-3.75,metro
14,50,2,-1.25,0,-11.25,-13.75,-16.5,-6.75,0,-3.75,park-and-ride
14,44,1,0,-3.75,-15,-7.5,0,-1.25,-6.25,-10,bus
14,61,1,0,-3,-4.5,-6.75,-17.5,-4,0,-4,bus
14,44,2,0,-2,-3,-17.5,-16.25,-5.75,0,-3.75,metro
14,27,3,-2.5,0,-17.5,-17.5,-11.75,-5,0,-2.5,park-and-ride
14,54,2,0,-2.5,-12.5,-15.5,-16.5,-3.75,0,-3.75,park-and-ride
14,43,3,0,-4.5,-10.5,-14.25,-15.25,-4.75,0,-4.75,car
14,61,3,0,-4.5,-10.5,-22.5,-16.75,-5.5,0,-5.5,metro
15,52,2,0,-1.25,-21.25,-27.5,-13,-4.75,0,-3.75,park-and-ride
15,37,2,-1.25,0,-21.25,-26.25,-15.5,-4.25,0,-4.25,park-and-ride
15,52,1,-1.25,0,-26.25,-23.75,-18.25,-3.25,0,-3.25,bus
17,20,3,0,-2.5,-16.25,-15,0,-1.25,-8.75,-12.5,car
15,46,2,-2.5,0,-17.5,-15,-15,-3.75,0,-3.75,metro
15,65,3,0,-7.5,-15,-16.25,-12.75,-6.75,0,-3.25,park-and-ride
15,61,1,0,-2.5,-11.25,-9.25,0,-11.25,-7.5,-5,bus
15,38,2,0,-5.75,-11.75,-13.5,-16.25,-4.25,0,-4.25,metro
15,34,3,0,-4,-8.5,-13.5,-11.75,-4.25,0,-4.25,park-and-ride
15,50,1,0,-5.25,-9.75,-9.25,-16.5,-3,0,-3,bus
15,51,3,0,-4.5,-10.5,-16.25,-15.25,-4,0,-4,car
15,55,3,0,-2.5,-17.5,-10.5,-14.75,-5.75,0,-3.75,car
16,67,1,0,-3.25,-6.75,-22.5,-18.25,-4,0,-4,bus
16,67,2,-1.25,0,-21.25,-14.25,-15,-3.75,0,-3.75,metro
16,43,3,0,-4.5,-8,-6.25,-16.5,-3.75,0,-3.75,metro
16,62,2,0,-1.25,-3.75,-11.5,-18,-3.75,0,-3.75,metro
16,36,2,0,-7.25,-15.25,-20.25,-19.5,-5.25,0,-3.75,bus
16,64,1,0,-8.5,-16.5,-17,-9,-3.75,0,-3.75,metro
16,56,2,0,-4.25,-10.75,-14,-7,-6.25,0,-3.75,car
16,33,3,0,-4.75,-10.25,-17.5,-12.75,-4.5,0,-4.5,car
16,65,3,0,-7.5,-15,-13.75,-17,-2,0,-2,park-and-ride
16,36,3,0,-2.75,-4.75,-10.5,-17.5,-3.25,0,-3.25,bus
16,63,1,0,-4.5,-10.5,-14.25,-14,-6.5,0,-6.5,car
16,43,2,0,-4.5,-10.5,-16.75,-17.25,-3.75,0,-3.75,metro
16,34,2,0,-7,-13,-15.25,-17,-4.25,0,-3.75,car
17,51,2,0,-2.25,-2.75,-8.5,-13,-4.75,0,-3.75,bus
17,39,1,0,-4,-6,-8.25,-14.5,-6.25,0,-3.75,metro
17,27,1,0,-3,-4.5,-12,-19,-4,0,-4,metro
17,26,2,0,-6.75,-13.25,-18.75,-14.25,-3.75,0,-3.75,metro
17,52,1,0,-7.5,-15,-14.25,-11.25,-3,0,-3,bus
17,49,2,0,-3.25,-5.25,-11.25,-13.75,-3.25,0,-3.25,car
17,44,2,0,-7,-13,-12.5,-11.75,-2.75,0,-2.75,car
17,38,3,0,-2.5,-2.5,-8.75,-17.75,-3.5,0,-3.5,car
17,56,2,0,-5,-10,-12.5,-18,-3,0,-3,metro
17,34,3,0,-3.75,-6.25,-15,-12.75,-3.75,0,-3.75,bus
17,49,2,0,-7.5,-15,-16.25,-18,-3.75,0,-3.75,park-and-ride
17,60,3,0,-5,-10,-15.5,-14.75,-3.5,0,-3.5,park-and-ride
17,48,1,0,-7,-15.5,-18.75,-18.25,-4,0,-4,bus
17,51,1,0,-6.25,-13.75,-17,-13.5,-5.25,0,-3.75,metro
17,28,2,0,-5.5,-9.5,-10,-16.25,-3.5,0,-3.5,metro
