loc,age,Income_level, car_cost,park_and_ride_cost,metro_cost,bus_cost,car_realtime,park_and_ride_realtime,metro_realtime,bus_realtime,decision
11,34,1,0,-3.25,-7.75,-9.25,-10,-2.5,0,0,bus
11,52,2,0,-3.25,-7.75,-9.25,-10,-2.5,0,0,metro
11,50,3,0,-8.25,-12.25,-14.75,-12.5,-5,0,-2.5,park and ride
11,44,1,0,-4.75,-10.25,-12.25,-12.5,-5,0,-2.5,bus
11,61,1,0,-6.75,-13.25,-13.25,-12.5,-5,0,-2.5,bus
11,44,1,0,-3.25,-7.75,-10.25,-12.5,-5,0,-2.5,bus
11,27,1,0,-2.25,-7.75,-9.25,-22.5,-7.5,0,-5,bus
11,54,2,0,-2.25,-7.75,-8.25,-22.5,-7.5,0,-5,park and ride
11,43,3,0,-5.75,-9.75,-12.25,-12.5,-5,0,-2.5,car
11,61,1,0,-7.25,-12.75,-13.25,-15,-7.5,0,-5,metro
11,52,1,0,-3.25,-6.75,-8.25,-15,-7.5,0,-5,bus
11,37,2,0,-3.25,-7.75,-10.25,-10,-2.5,0,0,park and ride
11,52,3,0,-4.75,-10.25,-12.25,-12.5,-5,0,-2.5,car
11,46,3,0,-6.75,-13.25,-14.75,-12.5,-5,0,-2.5,car
11,65,2,0,-6.75,-13.25,-13.25,-12.5,-5,0,-2.5,park and ride
11,61,3,0,-3.25,-7.25,-9.75,-12.5,-5,0,-2.5,car
11,38,1,0,-4.75,-10.25,-10.75,-15,-7.5,0,-5,metro
11,34,2,0,-3.25,-7.75,-9.25,-10,-2.5,0,0,park and ride
11,50,2,0,-3.25,-7.25,-11.25,-12.5,-5,0,-2.5,metro
11,51,3,0,-5.75,-14.25,-13.25,-12.5,-5,0,-2.5,car
12,55,2,0,-3.25,-7.25,-9.75,-12.5,-5,0,-2.5,car
12,67,3,0,-4.75,-10.25,-10.75,-12.5,-5,0,-2.5,car
12,67,1,0,-3.25,-7.25,-9.75,-12.5,-5,0,-2.5,metro
12,43,3,0,-4.75,-10.25,-10.75,-12.5,-5,0,-2.5,car
12,62,1,0,-3.25,-6.75,-9.75,-15,-7.5,0,-5,bus
12,36,2,0,-6.75,-13.25,-14.75,-12.5,-5,0,-2.5,metro
12,64,1,0,-6.75,-13.25,-13.25,-12.5,-5,0,-2.5,bus
12,56,2,0,-3.25,-6.75,-8.25,-15,-7.5,0,-5,park and ride
12,33,2,0,-3.25,-7.25,-9.75,-12.5,-5,0,-2.5,car
12,65,2,0,-4.75,-10.25,-10.75,-12.5,-5,0,-2.5,park and ride
12,36,3,0,-3.25,-7.25,-8.75,-12.5,-5,0,-2.5,park and ride
12,63,1,0,-3.25,-7.25,-8.75,-12.5,-5,0,-2.5,bus
12,43,1,0,-3.25,-7.75,-10.75,-10,-2.5,0,0,metro
12,34,1,0,-6.75,-13.25,-13.25,-12.5,-5,0,-2.5,bus
12,51,1,0,-3.25,-7.25,-9.75,-12.5,-5,0,-2.5,bus
12,39,2,0,-4.75,-10.25,-11.75,-12.5,-5,0,-2.5,metro
12,27,1,0,-2.25,-8.25,-10.25,-12.5,-5,0,-2.5,bus
12,26,3,0,-6.75,-13.25,-13.25,-12.5,-5,0,-2.5,car
12,52,1,0,-3.25,-7.75,-10.75,-10,-2.5,0,0,bus
12,49,2,0,-1.75,-8.25,-8.25,-12.5,-5,0,-2.5,car
13,44,2,-0.5,0,-3.5,-6.5,-12.5,-5,0,-2.5,car
13,38,1,0,-1.75,-8.25,-9.25,-12.5,-5,0,-2.5,bus
13,56,3,0,-4.75,-10.25,-10.75,-12.5,-5,0,-2.5,car
13,34,2,-0.5,0,-4,-6.5,-10,-2.5,0,0,park and ride
13,49,3,0,-4.75,-10.25,-10.75,-15,-7.5,0,-5,car
13,60,1,0,-3.25,-7.75,-9.25,-10,-2.5,0,0,bus
