loc,age,Income_level, car_cost,park_and_ride_cost,metro_cost,bus_cost,car_realtime,park_and_ride_realtime,metro_realtime,bus_realtime,decision
14,34,2,0.222222222,0,0.888888889,1,1,0.5,0,0.5,bus
14,52,1,0,0.6,0.9,1,1,0.714285714,0,0.464285714,metro
14,50,2,0,0.4,1,0.8,0,1,0.833333333,0.666666667,park and ride
14,44,1,0,0.575,0.875,1,1,0.515151515,0,0.515151515,bus
14,61,1,0,0.533333333,0.833333333,1,1,0.62962963,0,0.62962963,bus
14,44,2,0,0.7,1,1,1,0.4,0,0.4,bus
14,27,3,0,0.6,1,1,1,0.516129032,0,0.516129032,bus
14,54,2,0,0.25,1,1,1,0.612903226,0,0.483870968,park and ride
14,43,3,0,0.52,0.8,1,1,0.457142857,0,0.457142857,car
14,61,3,0.1,0,0.9,1,1,0.5,0,0.5,metro
15,52,2,0,0.72,1,1,1,0.46875,0,0.46875,bus
15,37,2,0,0.333333333,0.666666667,1,1,0.441176471,0,0.441176471,park and ride
15,52,1,0,0.58,0.9,1,1,0.486486486,0,0.405405405,car
17,20,3,35,25,0,5,25,20,5,0,car
15,46,2,0,0.618181818,0.909090909,1,1,0.681818182,0,0.681818182,car
15,65,3,0,0.485714286,0.857142857,1,1,0.952380952,0,0.714285714,park and ride
15,61,1,0,0.542857143,0.857142857,1,1,0.620689655,0,0.620689655,car
15,38,2,0,0.6,0.9,1,1,0.285714286,0,0.285714286,metro
15,34,3,0,0.55,0.75,1,1,0.40625,0,0.40625,park and ride
15,50,1,0,0.514285714,0.857142857,1,1,0.722222222,0,0.722222222,metro
15,51,3,0,0.514285714,0.857142857,1,1,0.454545455,0,0.454545455,car
15,55,3,0,0.56,0.8,1,1,0.484848485,0,0.454545455,car
16,67,1,0,0.6,0.666666667,1,1,0.607142857,0,0.535714286,car
16,67,2,0,0.64,0.8,1,1,0.64516129,0,0.483870968,metro
16,43,3,0,0.6,0.75,1,1,0.444444444,0,0.444444444,car
16,62,2,0,0.6,0.888888889,1,1,0.517241379,0,0.517241379,bus
16,36,2,0,0.6,0.9,1,1,0.52173913,0,0.52173913,metro
16,64,1,0,0.65,0.85,1,1,0.481481481,0,0.481481481,bus
16,56,2,0,0.622222222,0.888888889,1,1,0.47826087,0,0.47826087,park and ride
16,33,3,0,0.666666667,0.666666667,1,1,0.424242424,0,0.424242424,car
16,65,3,0,0.571428571,0.857142857,1,1,0.375,0,0.375,park and ride
16,36,3,0,0.6,0.8,1,1,0.555555556,0,0.555555556,park and ride
16,63,1,0,0.6,0.9,1,1,0.441176471,0,0.441176471,bus
16,43,2,0,0.571428571,0.857142857,1,1,0.482758621,0,0.482758621,metro
16,34,2,0,0.56,0.9,1,1,0.457142857,0,0.457142857,bus
17,51,2,0,0.555555556,0.888888889,1,1,0.620689655,0,0.517241379,bus
17,39,1,0,0.628571429,0.857142857,1,1,0.451612903,0,0.451612903,metro
17,27,1,0,0.6,0.75,1,1,0.444444444,0,0.444444444,bus
17,26,2,0,0.6,0.888888889,1,1,0.517241379,0,0.517241379,car
17,52,1,0,0.6,0.9,1,1,0.52173913,0,0.52173913,bus
17,49,2,0,0.65,0.85,1,1,0.481481481,0,0.481481481,car
17,44,2,0,0.622222222,0.888888889,1,1,0.47826087,0,0.47826087,car
17,38,3,0,0.666666667,0.666666667,1,1,0.424242424,0,0.424242424,bus
17,56,2,0,0.571428571,0.857142857,1,1,0.375,0,0.375,car
17,34,3,0,0.6,0.8,1,1,0.555555556,0,0.555555556,park and ride
17,49,2,0,0.6,0.9,1,1,0.441176471,0,0.441176471,car
17,60,3,0,0.571428571,0.857142857,1,1,0.482758621,0,0.482758621,bus
17,48,1,0,0.56,0.9,1,1,0.457142857,0,0.457142857,park and ride
17,51,1,0,0.555555556,0.888888889,1,1,0.620689655,0,0.517241379,park and ride
17,28,2,0,0.628571429,0.857142857,1,1,0.451612903,0,0.451612903,metro
