loc,age,Income_level, car_cost,park_and_ride_cost,metro_cost,bus_cost,car_realtime,park_and_ride_realtime,metro_realtime,bus_realtime,decision
11,34,1,0,0.541666667,0.916666667,1,1,0.333333333,0,0,bus
11,52,2,0,0.541666667,0.916666667,1,1,0.333333333,0,0,metro
11,50,3,0,0.76744186,0.953488372,1,1,0.6,0,0.4,park and ride
11,44,1,0,0.59375,0.9375,1,1,0.6,0,0.4,bus
11,61,1,0,0.642857143,0.952380952,1,1,0.6,0,0.4,bus
11,44,1,0,0.541666667,0.916666667,1,1,0.6,0,0.4,bus
11,27,1,0,0.409090909,0.909090909,1,1,0.555555556,0,0.444444444,bus
11,54,2,0,0.409090909,0.909090909,1,1,0.555555556,0,0.444444444,park and ride
11,43,3,0,0.696969697,0.939393939,1,1,0.6,0,0.4,car
11,61,1,0,0.69047619,0.952380952,1,1,0.714285714,0,0.571428571,metro
11,52,1,0,0.590909091,0.909090909,1,1,0.714285714,0,0.571428571,bus
11,37,2,0,0.541666667,0.916666667,1,1,0.333333333,0,0,park and ride
11,52,3,0,0.59375,0.9375,1,1,0.6,0,0.4,car
11,46,3,0,0.642857143,0.952380952,1,1,0.6,0,0.4,car
11,65,2,0,0.642857143,0.952380952,1,1,0.6,0,0.4,park and ride
11,61,3,0,0.565217391,0.913043478,1,1,0.6,0,0.4,car
11,38,1,0,0.59375,0.9375,1,1,0.714285714,0,0.571428571,metro
11,34,2,0,0.541666667,0.916666667,1,1,0.333333333,0,0,park and ride
11,50,2,0,0.565217391,0.913043478,1,1,0.6,0,0.4,metro
11,51,3,0,0.547619048,0.952380952,1,1,0.6,0,0.4,car
12,55,2,0,0.565217391,0.913043478,1,1,0.6,0,0.4,car
12,67,3,0,0.59375,0.9375,1,1,0.6,0,0.4,car
12,67,1,0,0.565217391,0.913043478,1,1,0.6,0,0.4,metro
12,43,3,0,0.59375,0.9375,1,1,0.6,0,0.4,car
12,62,1,0,0.590909091,0.909090909,1,1,0.714285714,0,0.571428571,bus
12,36,2,0,0.642857143,0.952380952,1,1,0.6,0,0.4,metro
12,64,1,0,0.642857143,0.952380952,1,1,0.6,0,0.4,bus
12,56,2,0,0.590909091,0.909090909,1,1,0.714285714,0,0.571428571,park and ride
12,33,2,0,0.565217391,0.913043478,1,1,0.6,0,0.4,car
12,65,2,0,0.59375,0.9375,1,1,0.6,0,0.4,park and ride
12,36,3,0,0.565217391,0.913043478,1,1,0.6,0,0.4,park and ride
12,63,1,0,0.565217391,0.913043478,1,1,0.6,0,0.4,bus
12,43,1,0,0.541666667,0.916666667,1,1,0.333333333,0,0,metro
12,34,1,0,0.642857143,0.952380952,1,1,0.6,0,0.4,bus
12,51,1,0,0.565217391,0.913043478,1,1,0.6,0,0.4,bus
12,39,2,0,0.59375,0.9375,1,1,0.6,0,0.4,metro
12,27,1,0,0.391304348,0.913043478,1,1,0.6,0,0.4,bus
12,26,3,0,0.642857143,0.952380952,1,1,0.6,0,0.4,car
12,52,1,0,0.541666667,0.916666667,1,1,0.333333333,0,0,bus
12,49,2,0,0.318181818,0.909090909,1,1,0.6,0,0.4,car
13,44,2,0.2,0,0.8,1,1,0.6,0,0.4,car
13,38,1,0,0.318181818,0.909090909,1,1,0.6,0,0.4,bus
13,56,3,0,0.59375,0.9375,1,1,0.6,0,0.4,car
13,34,2,0.181818182,0,0.818181818,1,1,0.333333333,0,0,park and ride
13,49,3,0,0.59375,0.9375,1,1,0.714285714,0,0.571428571,car
13,60,1,0,0.541666667,0.916666667,1,1,0.333333333,0,0,bus
13,48,2,0,0.565217391,0.913043478,1,1,0.6,0,0.4,park and ride
